model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
jinaai__jina-embeddings-v5-text-nano,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0325,0.0014,0.0642,0.0394
jinaai__jina-embeddings-v5-text-small,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0371,0.0107,0.0657,0.0
Alibaba-NLP__gte-Qwen2-1.5B-instruct,kimi-k2.6,lifted,7,0.0341,-0.0147,0.0849,0.1784
Alibaba-NLP__gte-Qwen2-1.5B-instruct,minimax-m2.7,lifted,7,0.0786,0.0039,0.1546,0.0372
Alibaba-NLP__gte-Qwen2-1.5B-instruct,ncbi__MedCPT,lifted,7,0.1689,0.0844,0.2618,0.0
nvidia__llama-embed-nemotron-8b,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0293,0.0135,0.043,0.0002
Alibaba-NLP__gte-Qwen2-1.5B-instruct,qwen3.6-27b,lifted,7,0.0075,-0.0466,0.0654,0.8046
Alibaba-NLP__gte-Qwen2-1.5B-instruct,qwen3.6-35b-a3b,lifted,7,0.0014,-0.0394,0.0445,0.941
Alibaba-NLP__gte-Qwen2-1.5B-instruct,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.0805,0.03,0.1413,0.0
tencent__KaLM-Embedding-Gemma3-12B-2511,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0197,-0.0065,0.0411,0.135
Alibaba-NLP__gte-Qwen2-7B-instruct,BAAI__bge-base-en-v1.5,lifted,7,0.088,0.0236,0.1498,0.0064
Alibaba-NLP__gte-Qwen2-7B-instruct,BAAI__bge-large-en-v1.5,lifted,7,0.0849,0.0284,0.1412,0.0042
Alibaba-NLP__gte-Qwen2-7B-instruct,BAAI__bge-m3,lifted,7,0.1007,0.0387,0.164,0.0008
Alibaba-NLP__gte-Qwen2-7B-instruct,BAAI__bge-small-en-v1.5,lifted,7,0.1036,0.0429,0.164,0.0008
Alibaba-NLP__gte-Qwen2-7B-instruct,FremyCompany__BioLORD-2023,lifted,7,0.1059,0.0335,0.1769,0.003
Alibaba-NLP__gte-Qwen2-7B-instruct,GritLM__GritLM-7B,lifted,7,0.2482,0.1476,0.3765,0.0
Alibaba-NLP__gte-Qwen2-7B-instruct,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0333,-0.011,0.0899,0.1664
Alibaba-NLP__gte-Qwen2-7B-instruct,NeuML__pubmedbert-base-embeddings,lifted,7,0.1491,0.0804,0.2182,0.0
Alibaba-NLP__gte-Qwen2-7B-instruct,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0295,-0.0045,0.0598,0.0964
Qwen__Qwen3-Embedding-4B,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0101,-0.0135,0.0366,0.4664
Qwen__Qwen3-Embedding-8B,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0135,-0.0057,0.0363,0.2036
Salesforce__SFR-Embedding-2_R,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0083,-0.014,0.03,0.4812
Alibaba-NLP__gte-Qwen2-7B-instruct,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0997,0.0315,0.1712,0.0028
Alibaba-NLP__gte-Qwen2-7B-instruct,abhinand__MedEmbed-base-v0.1,lifted,7,0.0807,0.0261,0.1381,0.0026
Alibaba-NLP__gte-Qwen2-7B-instruct,abhinand__MedEmbed-large-v0.1,lifted,7,0.0823,0.024,0.1404,0.0048
Alibaba-NLP__gte-Qwen2-7B-instruct,abhinand__MedEmbed-small-v0.1,lifted,7,0.0767,0.0213,0.1354,0.0064
bflhc__Octen-Embedding-8B,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.013,-0.0149,0.0397,0.3604
Alibaba-NLP__gte-Qwen2-7B-instruct,codefuse-ai__F2LLM-v2-0.6B,lifted,7,0.0181,-0.0353,0.1102,0.6852
codefuse-ai__F2LLM-v2-1.7B,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0015,-0.0951,0.0641,0.895
Alibaba-NLP__gte-Qwen2-7B-instruct,codefuse-ai__F2LLM-v2-14B,lifted,7,0.0048,-0.0614,0.1078,0.9678
Alibaba-NLP__gte-Qwen2-7B-instruct,codefuse-ai__F2LLM-v2-4B,lifted,7,0.0074,-0.0507,0.101,0.8568
Alibaba-NLP__gte-Qwen2-7B-instruct,codefuse-ai__F2LLM-v2-8B,lifted,7,0.005,-0.0611,0.1065,0.9684
Alibaba-NLP__gte-Qwen2-7B-instruct,deepseek-r1,lifted,7,0.1407,0.0488,0.2349,0.0028
Alibaba-NLP__gte-Qwen2-7B-instruct,deepseek__deepseek-v4-flash,lifted,7,0.1489,0.0601,0.2487,0.0
Alibaba-NLP__gte-Qwen2-7B-instruct,glm-4.7,lifted,7,0.1077,0.0255,0.201,0.0062
Alibaba-NLP__gte-Qwen2-7B-instruct,google__embeddinggemma-300m,lifted,7,0.0152,-0.0041,0.0337,0.1266
Alibaba-NLP__gte-Qwen2-7B-instruct,google__gemini-3-flash-preview,lifted,7,0.0445,-0.0223,0.1321,0.2662
Alibaba-NLP__gte-Qwen2-7B-instruct,google__gemini-3.1-flash-lite-preview,lifted,7,0.1998,0.0478,0.3539,0.0064
google__gemini-3.1-pro-preview,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0266,-0.0146,0.0704,0.2264
Alibaba-NLP__gte-Qwen2-7B-instruct,intfloat__e5-mistral-7b-instruct,lifted,7,0.1961,0.141,0.2536,0.0
Alibaba-NLP__gte-Qwen2-7B-instruct,intfloat__multilingual-e5-base,lifted,7,0.1183,0.0429,0.1998,0.001
Alibaba-NLP__gte-Qwen2-7B-instruct,intfloat__multilingual-e5-large,lifted,7,0.1014,0.0335,0.181,0.0008
Alibaba-NLP__gte-Qwen2-7B-instruct,intfloat__multilingual-e5-large-instruct,lifted,7,0.0536,-0.0017,0.1219,0.06
Alibaba-NLP__gte-Qwen2-7B-instruct,intfloat__multilingual-e5-small,lifted,7,0.1174,0.0508,0.1887,0.0004
jinaai__jina-embeddings-v5-text-nano,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0086,-0.0255,0.0435,0.6714
jinaai__jina-embeddings-v5-text-small,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0132,-0.0172,0.0454,0.443
Alibaba-NLP__gte-Qwen2-7B-instruct,kimi-k2.6,lifted,7,0.058,0.006,0.1108,0.0274
Alibaba-NLP__gte-Qwen2-7B-instruct,minimax-m2.7,lifted,7,0.1024,0.0229,0.1835,0.0106
Alibaba-NLP__gte-Qwen2-7B-instruct,ncbi__MedCPT,lifted,7,0.1927,0.11,0.2797,0.0
nvidia__llama-embed-nemotron-8b,Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.0055,-0.0165,0.0267,0.6446
Alibaba-NLP__gte-Qwen2-7B-instruct,qwen3.6-27b,lifted,7,0.0313,-0.0313,0.0969,0.3386
Alibaba-NLP__gte-Qwen2-7B-instruct,qwen3.6-35b-a3b,lifted,7,0.0252,-0.0212,0.0753,0.3214
Alibaba-NLP__gte-Qwen2-7B-instruct,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.1044,0.0504,0.1683,0.0
Alibaba-NLP__gte-Qwen2-7B-instruct,tencent__KaLM-Embedding-Gemma3-12B-2511,lifted,7,0.0042,-0.0192,0.0291,0.725
BAAI__bge-large-en-v1.5,BAAI__bge-base-en-v1.5,lifted,7,0.003,-0.0081,0.0135,0.5712
BAAI__bge-base-en-v1.5,BAAI__bge-m3,lifted,7,0.0128,-0.0336,0.0421,0.5364
BAAI__bge-base-en-v1.5,BAAI__bge-small-en-v1.5,lifted,7,0.0157,0.0021,0.0275,0.0248
BAAI__bge-base-en-v1.5,FremyCompany__BioLORD-2023,lifted,7,0.0179,0.0058,0.0314,0.0006
BAAI__bge-base-en-v1.5,GritLM__GritLM-7B,lifted,7,0.1603,0.0488,0.2883,0.0
